epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.257,1.36861,2.496,1.21451,0.39612,0.26619,0.23667,0.14882,1.41633,2.7448,1.21154,0.000661616,0.000661616,0.000661616
2,256.311,1.53754,2.14818,1.293,0.24522,0.26043,0.12598,0.07294,1.52624,3.28649,1.3062,0.00130198,0.00130198,0.00130198
3,384.368,1.56783,2.00464,1.32356,0.33011,0.26619,0.2085,0.12114,1.62941,2.79481,1.43612,0.00191595,0.00191595,0.00191595
4,512.694,1.6517,1.96433,1.36082,0.56526,0.28633,0.31154,0.19231,1.52328,2.82783,1.30953,0.0018812,0.0018812,0.0018812
5,640.818,1.55016,1.78588,1.32801,0.58283,0.26334,0.29949,0.18584,1.46777,1.86177,1.29702,0.0018416,0.0018416,0.0018416
6,769.001,1.59696,1.80802,1.33254,0.5201,0.3295,0.33622,0.21997,1.39766,1.72477,1.23559,0.001802,0.001802,0.001802
7,897.488,1.54408,1.75408,1.32504,0.55046,0.31223,0.33041,0.20925,1.44658,1.89552,1.26229,0.0017624,0.0017624,0.0017624
8,1025.81,1.50539,1.66834,1.27774,0.5816,0.35252,0.37824,0.24694,1.35963,1.66072,1.22165,0.0017228,0.0017228,0.0017228
9,1154.41,1.47912,1.668,1.26071,0.57323,0.34676,0.38383,0.24364,1.34822,1.65539,1.22237,0.0016832,0.0016832,0.0016832
10,1282.88,1.4721,1.62594,1.26141,0.59989,0.3554,0.37705,0.25338,1.34165,1.58689,1.21109,0.0016436,0.0016436,0.0016436
11,1411.29,1.44571,1.56113,1.26253,0.63557,0.34388,0.39134,0.25501,1.36381,1.66526,1.20388,0.001604,0.001604,0.001604
12,1539.56,1.42576,1.58916,1.24961,0.55982,0.36403,0.37342,0.24511,1.30736,1.53853,1.20433,0.0015644,0.0015644,0.0015644
13,1667.86,1.4063,1.52585,1.23532,0.52465,0.35252,0.37117,0.2467,1.30559,2.00775,1.1855,0.0015248,0.0015248,0.0015248
14,1796.01,1.43792,1.54802,1.23866,0.58249,0.36259,0.39142,0.2549,1.30635,1.56084,1.20093,0.0014852,0.0014852,0.0014852
